batch_size,sequence_length,model_dimension,precision,is_causal,device,O_diff_l2,O_diff_max,K_grad_diff_l2_rel,K_grad_diff_max,V_grad_diff_l2_rel,V_grad_diff_max,Q_grad_diff_l2_rel,Q_grad_diff_max
3,256,128,torch.bfloat16,True,cuda,0.1292732059955597,0.006905317306518555,0.0024566650390625,0.03125,0.0011138916015625,0.03125,0.0026092529296875,0.0078125
3,256,128,torch.bfloat16,False,cuda,0.06752599030733109,0.0015843212604522705,0.002166748046875,0.0078125,0.00101470947265625,0.0078125,0.00262451171875,0.00390625
3,256,128,torch.float16,True,cuda,0.01634506694972515,0.0008633136749267578,0.00029587745666503906,0.001953125,0.0001270771026611328,0.001953125,0.00033402442932128906,0.0009765625
3,256,128,torch.float16,False,cuda,0.008605021983385086,0.00019627809524536133,0.00027823448181152344,0.0009765625,5.543231964111328e-05,0.0009765625,0.0003230571746826172,0.00048828125
3,256,128,torch.float32,True,cuda,0.0767408162355423,0.002474069595336914,0.0016633211635053158,0.005967855453491211,0.00038417999166995287,0.003410816192626953,0.0016242617275565863,0.0034786462783813477
3,256,128,torch.float32,False,cuda,0.04578661918640137,0.0012606978416442871,0.0017975259106606245,0.0030936002731323242,0.0003870783548336476,0.0009531974792480469,0.001882190234027803,0.0023720860481262207
3,512,32,torch.bfloat16,True,cuda,0.06851931661367416,0.004542350769042969,0.00183868408203125,0.015625,0.0006256103515625,0.015625,0.002655029296875,0.0078125
3,512,32,torch.bfloat16,False,cuda,0.035634759813547134,0.001028686761856079,0.0016021728515625,0.0078125,0.00077056884765625,0.0078125,0.002593994140625,0.001953125
3,512,32,torch.float16,True,cuda,0.008731654845178127,0.0009558200836181641,0.00021529197692871094,0.00390625,0.00010293722152709961,0.00390625,0.0003418922424316406,0.0009765625
3,512,32,torch.float16,False,cuda,0.00441661337390542,0.0002111196517944336,0.00018739700317382812,0.0009765625,7.814168930053711e-05,0.0009765625,0.0003139972686767578,0.00048828125
3,512,32,torch.float32,True,cuda,0.042176682502031326,0.0021551847457885742,0.0017186935292556882,0.007781505584716797,0.0004084163228981197,0.003055572509765625,0.0016620163805782795,0.0028263330459594727
3,512,32,torch.float32,False,cuda,0.025190016254782677,0.001201331615447998,0.0017979285912588239,0.004373788833618164,0.0004295698890928179,0.0018799304962158203,0.0018848150502890348,0.0021158456802368164
3,512,128,torch.bfloat16,True,cuda,0.14172394573688507,0.008382081985473633,0.00225830078125,0.015625,0.000896453857421875,0.03125,0.0027008056640625,0.015625
3,512,128,torch.bfloat16,False,cuda,0.0697786808013916,0.0011426210403442383,0.00201416015625,0.0078125,0.000827789306640625,0.0078125,0.0026092529296875,0.00390625
3,512,128,torch.float16,True,cuda,0.01756962388753891,0.0007424354553222656,0.00028014183044433594,0.001953125,0.00013911724090576172,0.00390625,0.0003333091735839844,0.0009765625
